no,productno ,colour,size,crossreference,description,brandid,brandname,brandlineid,brandlinename,img1,img2,img3,img4,img5,img6,composition,countryoforigin,genderid,gendername,ageclassid,ageclassname,seasonid,seasonname,seasonyear,productcategoryid,productcategoryname,productgroupcodeid,productgroupcodename,colorname,colorhex
011122287,8697353559006,K.Gjelber,Single,8697353559006,Çarçaf Dysheku Njeshe - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55817701327KOYUYESIL_8697353559006.jpeg?lastmod=1620-20240425,,,,,,100% PAMBUK,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,GREEN,#008000
011122281,8697353558900,A.Kalter,Double,8697353558900,Çarçaf Dysheku Dyshe - Colourist,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353558900.jpg,http://91.187.98.69:8001/01/035/Published/8697353558900_1.jpg,,,,,100% PAMBUK,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,BLUE,#0000FF
011209000,8697353608926,A.Koral,Single,8697353608926,Çarçaf Dysheku Njeshe - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327ACIKMERCAN_8697353608926.jpeg?lastmod=1105-20240514,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327ACIKMERCAN_8697353608926_1.jpeg?lastmod=1105-20240514,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327ACIKMERCAN_8697353608926_1.jpeg?lastmod=1105-20240514,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327ACIKMERCAN_8697353608926_1.jpeg?lastmod=1105-20240514,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327ACIKMERCAN_8697353608926_1.jpeg?lastmod=1105-20240514,,100% PAMBUK,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,KORAL,#FF7F50
011293075,8697353649431,VJOLLCE,DOUBLE,8697353649431,Set Carcafe Dyshe - Geometrik,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327KULMORU_8697353649431.jpeg?lastmod=1802-20250128,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327KULMORU_8697353649431_1.jpeg?lastmod=1802-20250128,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327KULMORU_8697353649431_1.jpeg?lastmod=1802-20250128,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327KULMORU_8697353649431_1.jpeg?lastmod=1802-20250128,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327KULMORU_8697353649431_1.jpeg?lastmod=1802-20250128,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327KULMORU_8697353649431_2.jpeg?lastmod=1802-20250128,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,VJOLLCE,#8F00FF
011262062,8697353612152,VERDHE,STANDARD,8697353612152,Pantofla Dushi - Colourist,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353612152.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,YELLOW,#FFFF00
011293090,8697353635397,ANTRACIT,KING,8697353635397,Set Carcafe Dyshe - Lucent,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327ANTRASIT_8697353635397.jpeg?lastmod=1627-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327ANTRASIT_8697353635397_1.jpeg?lastmod=1627-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327ANTRASIT_8697353635397_1.jpeg?lastmod=1627-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327ANTRASIT_8697353635397_1.jpeg?lastmod=1627-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327ANTRASIT_8697353635397_1.jpeg?lastmod=1627-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327ANTRASIT_8697353635397_2.jpeg?lastmod=1627-20241204,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,ANTRACIT,#2F2F2F
011293087,8697353635311,KAFE,DOUBLE,8697353635311,Set Carcafe Dyshe - Lucent,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353635311.jpg,http://91.187.98.69:8001/01/035/Published/8697353635311_1.jpg,http://91.187.98.69:8001/01/035/Published/8697353635311_2.jpg,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,BROWN,#A52A2A
011316733,8697353657184,HIRI,SINGLE,8697353657184,Set Çarçafe Njeshe - Unique,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353657184.jpg,http://91.187.98.69:8001/01/035/Published/8697353657184_1.jpg,http://91.187.98.69:8001/01/035/Published/8697353657184_2.jpg,http://91.187.98.69:8001/01/035/Published/8697353657184_3.jpg,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,GRAY,#808080
011166898,8697353569128,Zeze,M,8697353569128,Peshqir Kembesh - Winter,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353569128.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,BLACK,#000000
011262118,8697353616204,HIRI-KREM,M-L,8697353616204,Set Mantel Dushi - Camomile,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61619801327GRI_8697353616204.jpeg?lastmod=1700-20240813,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61619801327GRI_8697353616204_1.jpeg?lastmod=1700-20240813,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61619801327GRI_8697353616204_1.jpeg?lastmod=1700-20240813,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61619801327GRI_8697353616204_1.jpeg?lastmod=1700-20240813,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61619801327GRI_8697353616204_1.jpeg?lastmod=1700-20240813,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61619801327GRI_8697353616204_2.jpeg?lastmod=1700-20240813,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,GRAY CREAM,#D3D3D3
